Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR3096191.Hisat_aln	3122837	2011377	46564	0	0	0	0	0	0	549027	0	0	351063	0	164806	64.40864508778395
SRR3096192.Hisat_aln	3842005	2160218	48680	0	0	0	0	0	0	791084	0	0	670864	0	171159	56.22631933066199
SRR3096193.Hisat_aln	2261401	1371877	31158	0	0	0	0	0	0	419897	0	0	328135	0	110334	60.66491524501847
SRR3096194.Hisat_aln	5378088	3148259	82177	0	0	0	0	0	0	1038072	0	0	852367	0	257213	58.53862934187764
SRR3096195.Hisat_aln	5992865	3632710	83437	0	0	0	0	0	0	1152576	0	0	837298	0	286844	60.61725068060101
SRR3096196.Hisat_aln	3799613	2356169	51108	0	0	0	0	0	0	677301	0	0	524556	0	190479	62.01076267504085
SRR3096197.Hisat_aln	8979224	5801445	153495	0	0	0	0	0	0	1571031	0	0	949867	0	503386	64.60964778248098
SRR3096198.Hisat_aln	3909240	2592475	56524	0	0	0	0	0	0	654164	0	0	401314	0	204763	66.3165986227502
SRR3096199.Hisat_aln	5813183	3259708	80590	0	0	0	0	0	0	1218394	0	0	994520	0	259971	56.07440880495247
SRR3096200.Hisat_aln	8129587	5332454	155922	0	0	0	0	0	0	1418221	0	0	766274	0	456716	65.59317219927654
SRR3096626.Hisat_aln	4005673	2270320	61761	0	0	0	0	0	0	800162	0	0	692705	0	180725	56.67761696973268
SRR3096627.Hisat_aln	4808460	2630717	75252	0	0	0	0	0	0	1028596	0	0	869774	0	204121	54.710177478860174
SRR3096628.Hisat_aln	6357196	3820379	105910	0	0	0	0	0	0	1207177	0	0	924181	0	299549	60.0953470681099
SRR3096629.Hisat_aln	4690744	2699915	70271	0	0	0	0	0	0	863584	0	0	847695	0	209279	57.55835321646203
SRR3096630.Hisat_aln	2018698	1262533	33327	0	0	0	0	0	0	357677	0	0	254467	0	110694	62.54194535289578
SRR3096631.Hisat_aln	2379018	1530465	37929	0	0	0	0	0	0	406104	0	0	269911	0	134609	64.3317957241181
SRR3096632.Hisat_aln	6737818	4218587	92483	0	0	0	0	0	0	1226041	0	0	820780	0	379927	62.61058105161048
SRR3096633.Hisat_aln	2836685	1823717	39829	0	0	0	0	0	0	503479	0	0	327759	0	141901	64.29043055538419
SRR3096634.Hisat_aln	11176801	6972972	253345	0	0	0	0	0	0	2259494	0	0	1055609	0	635381	62.387905090195304
SRR3096635.Hisat_aln	4756067	2790599	69613	0	0	0	0	0	0	827280	0	0	828293	0	240282	58.67450984185042
SRR3096636.Hisat_aln	7209977	4077312	86766	0	0	0	0	0	0	1472942	0	0	1244370	0	328587	56.55097096703637
SRR3096637.Hisat_aln	7856923	4557434	103975	0	0	0	0	0	0	1580167	0	0	1247118	0	368229	58.0053285491025
SRR3096638.Hisat_aln	4026565	2275522	50029	0	0	0	0	0	0	751271	0	0	759755	0	189988	56.51273480000943
SRR3096639.Hisat_aln	2349049	1603149	36683	0	0	0	0	0	0	371445	0	0	180873	0	156899	68.24672452554204
SRR3096640.Hisat_aln	2786013	1743933	39176	0	0	0	0	0	0	503147	0	0	344536	0	155221	62.59601085852794
SRR3096641.Hisat_aln	9904080	6306149	163667	0	0	0	0	0	0	1728407	0	0	1145198	0	560659	63.67223406919169
SRR3096642.Hisat_aln	10455887	6881973	222295	0	0	0	0	0	0	1912789	0	0	753519	0	685311	65.81912180190929
