Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
SRR3096191.Hisat_aln	64.40864508778395	2011377
SRR3096192.Hisat_aln	56.22631933066199	2160218
SRR3096193.Hisat_aln	60.66491524501847	1371877
SRR3096194.Hisat_aln	58.53862934187764	3148259
SRR3096195.Hisat_aln	60.61725068060101	3632710
SRR3096196.Hisat_aln	62.01076267504085	2356169
SRR3096197.Hisat_aln	64.60964778248098	5801445
SRR3096198.Hisat_aln	66.3165986227502	2592475
SRR3096199.Hisat_aln	56.07440880495247	3259708
SRR3096200.Hisat_aln	65.59317219927654	5332454
SRR3096626.Hisat_aln	56.67761696973268	2270320
SRR3096627.Hisat_aln	54.710177478860174	2630717
SRR3096628.Hisat_aln	60.0953470681099	3820379
SRR3096629.Hisat_aln	57.55835321646203	2699915
SRR3096630.Hisat_aln	62.54194535289578	1262533
SRR3096631.Hisat_aln	64.3317957241181	1530465
SRR3096632.Hisat_aln	62.61058105161048	4218587
SRR3096633.Hisat_aln	64.29043055538419	1823717
SRR3096634.Hisat_aln	62.387905090195304	6972972
SRR3096635.Hisat_aln	58.67450984185042	2790599
SRR3096636.Hisat_aln	56.55097096703637	4077312
SRR3096637.Hisat_aln	58.0053285491025	4557434
SRR3096638.Hisat_aln	56.51273480000943	2275522
SRR3096639.Hisat_aln	68.24672452554204	1603149
SRR3096640.Hisat_aln	62.59601085852794	1743933
SRR3096641.Hisat_aln	63.67223406919169	6306149
SRR3096642.Hisat_aln	65.81912180190929	6881973
